page,row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
91,30,Kärhä et al. (2019),"*Norway spruce, Scots pine,",-,0.687 m³,27.2 cm,-,-,-,5,
91,31,,"Betula spp, Populus tremula",,,,,,,,
92,1,Karpachev & Bykovskiy,-,-,(0.0042-2.26) m³,-,-,-,-,-,
92,2,(2019),,,,,,,,,
92,3,Kim et al. (2017),"Lodgepole pine, Douglas-fir,",-,-,"7.5 in, Quadratic mean",-,-,9%,1,
92,4,,Subalpine fir,,,diameter,,,,,
92,5,Kizha & Han (2016),"Sequoia sempervirens,",60,-,*(18-23) cm,-,-,≤111%,2,
92,6,,"Pseudotsuga menziessii,",,,,,,,,
92,7,,"Tsuga heterophylla, Tanoak",,,,,,,,
92,8,Kormanek & Baj (2018),Pine,65,0.62 m³,-,-,-,Flat Forestland,-,
92,9,Kormanek & Kępa (2016),"Spruce, Beech, Sycamore",47,-,-,"Podsoil, Soil Strongly",-,Little Inclination,1,
92,10,,,,,,Turfed,,,,
92,11,Krč et al. (2015),"*Spruce, Fir, *Beech, Oak,",-,0.36 m³,19.55 cm,Not Problematic,Rockiness Is Due To,≤45%,-,
92,12,,"*Maple, Elm, Cherry",,,,,Dolomite Bedrock,,,
92,13,,,,,,,Very Small,,,
92,14,Labelle et al. (2017),"Pinus sylvestris, Picea abies",120 *(89-,*(0.29-0.89) m³,*(19.5-30.3) cm,-,-,-,1,
92,15,,,143),,,,,,,
92,16,Labelle et al. (2018),"Fagus Sylvatica, Quercus",-,*(1.7-1.9) m³,*(35.6-39.3) cm,-,-,-,-,
92,17,,"robur, Quercus petraea",,,,,,,,
92,18,Labelle & Huß (2018),"*Picea abies, Fagus",80,*(2.8-2.9) m³,*(46.6-47.0) cm,-,-,-,1,
92,19,,"sylvatica, Quercus robur,",,,,,,,,
92,20,,Betula pendula,,,,,,,,
92,21,Labelle et al. (2016),"*Sugar maple, Yellow birch,",-,-,"33 cm, quadratic mean",-,-,<10%,1,
92,22,,Other,,,diameter,,,,,
92,23,Labelle et al. (2019),"*Common beech, *Picea",90 (75-,1.74 *(1.13-2.11) m³,37.5 *(29.7-43.6) cm,-,-,<5%,1,
92,24,,"abies, Pinus sylvestris",110),,,,,,,
92,25,Laina et al. (2013),Quercus pyrenaica,-,-,*(5.8-10.6) cm,-,-,*(1-24)%,-,
92,26,Laitila et al. (2016),"Betula pubescens, Pine",-,*(50-58) dm³,*(5-20) cm,1 - Anon. (1990),1 - Anon. (1990),1 - Anon. (1990),1,
92,27,Laitila & Väätäinen (2014),Pinus sylvestris,(30-40),57 *(26-83) dm³,-,1 - Anon. (1990),1 - Anon. (1990),1 - Anon. (1990),1,
92,28,Laitila & Väätäinen (2020),"Pinus sylvestris, Picea abies,",-,(8–111) dm³,72 (12–163) mm,-,-,-,2,
92,29,,"Betula pubescens, Other",,,,,,,,
92,30,,broadleaved tree species,,,,,,,,
93,1,,"such as Aspen, Alder, Rowan",,,,,,,,
93,2,,and Willow,,,,,,,,
93,3,Laitila & Väätäinen (2021),"Pinus sylvestris, Picea abies,",-,(6-54) dm³,"41 *(21-97) mm, stump",-,-,-,1,
93,4,,"Betula pubescens, Other",,,diameter,,,,,
93,5,,broadleaved tree species,,,,,,,,
93,6,,"such as Aspen, Alder,",,,,,,,,
93,7,,"Rowan, and Willow",,,,,,,,
93,8,Laitila & Väätäinen (2023),"Pinus sylvestris, Picea abies,",(15-25),*(14.2-52.0) dm³,*(51-97) mm,1 - Anon. (1990),1 - Anon. (1990),1 - Anon. (1990),1,
93,9,,"Betula pendula, Other",,,,,,,,
93,10,,broadleaves,,,,,,,,
93,11,Laitila et al. (2013),Pinus sylvestris,-,-,*(14.5-15.1) cm,Drained Peatland,-,-,1,
93,12,Laitila et al. (2020),"*Scots pine, Norway spruce,",-,-,-,Ditched Peatland,-,-,1,
93,13,,Downy birch,,,,,,,,
93,14,Lazdiņš  et al. (2019),"Pine, Spruce",-,-,*(17.2-19.2) cm,Dry Sandy Mineral Soils,-,-,-,
93,15,Lazdiņš (2014),"Spruce, Grey alder, Black",-,-,9 cm,-,-,-,-,
93,16,,"alder, Birch",,,,,,,,
